,name,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,rightmouth_x,rightmouth_y
1,000001.jpg,69,109,106,113,77,142,73,152,108,154
2,000002.jpg,69,110,107,112,81,135,70,151,108,153
3,000003.jpg,76,112,104,106,108,128,74,156,98,158
4,000004.jpg,72,113,108,108,101,138,71,155,101,151
5,000005.jpg,66,114,112,112,86,119,71,147,104,150
6,000006.jpg,71,111,106,110,94,131,74,154,102,153
7,000007.jpg,70,112,108,111,85,135,72,152,104,152
8,000008.jpg,71,110,106,111,84,137,73,155,104,153
9,000009.jpg,68,113,110,111,97,139,66,152,109,150
10,000010.jpg,68,111,108,112,89,136,70,151,107,151
11,000011.jpg,69,112,108,111,89,139,72,152,104,151
12,000012.jpg,69,112,108,112,89,136,68,150,109,152
13,000013.jpg,68,112,109,111,90,138,67,151,109,150
14,000014.jpg,68,112,109,111,92,141,72,150,104,152
15,000015.jpg,69,110,107,112,90,133,74,152,105,153
16,000016.jpg,69,112,108,111,85,138,70,152,105,152
17,000017.jpg,67,112,109,113,86,138,67,150,111,151
18,000018.jpg,67,112,110,112,88,135,68,150,109,150
19,000019.jpg,68,111,108,112,88,134,73,152,104,151
20,000020.jpg,69,112,109,110,86,125,72,152,103,151
21,000021.jpg,70,111,107,111,87,138,73,151,104,154
22,000022.jpg,70,111,107,111,85,132,74,153,103,153
23,000023.jpg,70,112,108,111,88,140,71,153,105,151
24,000024.jpg,67,111,109,113,84,123,72,149,106,152
25,000025.jpg,70,111,108,111,83,130,72,153,104,152
26,000026.jpg,69,111,108,111,85,135,73,152,103,152
27,000027.jpg,70,112,107,110,101,138,70,155,105,151
28,000028.jpg,68,112,110,112,89,145,67,150,109,151
29,000029.jpg,69,111,108,111,91,129,70,151,107,152
30,000030.jpg,70,110,106,111,95,135,75,153,103,153
31,000031.jpg,68,113,109,111,88,137,65,151,111,151
32,000032.jpg,72,111,106,110,88,133,75,153,101,155
33,000033.jpg,69,111,108,111,88,136,72,152,105,152
34,000034.jpg,70,111,108,111,91,134,72,153,104,152
35,000035.jpg,69,111,108,111,88,135,73,152,104,152
36,000036.jpg,74,106,101,111,69,138,80,156,102,158
37,000037.jpg,72,110,105,110,94,132,76,155,101,155
